The English (United States) version of this software update installs files that have the attributes that are listed in the following tables.,,,,,,,
,,,,,,,
Windows 8.1 and Windows Server 2012 R2,,,,,,,
Notes,,,,,,,
The MANIFEST files (.manifest) and MUM files (.mum) that are installed are not listed.,,,,,,,
,,,,,,,
Internet Explorer 11,,,,,,,
Internet Explorer 11 on all supported x86-based versions of Windows 8.1 and Windows Server 2012 R2,,,,,,,
File name,File version,File size,Date,Time,Platform,SP requirement,Service branch
F12resources.dll.mui,11.0.9600.17278,"71,168",16-Aug-14,8:30,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"69,632",16-Aug-14,8:38,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"68,096",16-Aug-14,8:38,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"68,608",16-Aug-14,8:39,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.18666,"68,096",16-Apr-17,9:45,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"65,536",16-Aug-14,8:38,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"59,904",16-Aug-14,8:38,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"65,536",16-Aug-14,8:38,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"69,120",16-Aug-14,8:38,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"29,696",16-Aug-14,8:39,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"30,720",16-Aug-14,8:34,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"30,720",16-Aug-14,8:33,Not applicable,None,Not applicable
Javascriptcollectionagent.dll,11.0.9600.17416,"60,416",31-Oct-14,2:57,x86,None,Not applicable
Diagnosticshub.scriptedsandboxplugin.dll,11.0.9600.17905,"230,400",15-Jun-15,20:50,x86,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"46,080",11-Jun-16,20:26,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"50,176",11-Jun-16,20:24,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"48,640",11-Jun-16,20:23,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"49,664",11-Jun-16,20:24,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"51,712",11-Jun-16,20:23,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"54,272",11-Jun-16,19:12,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"48,128",11-Jun-16,19:12,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"48,128",11-Jun-16,18:10,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"50,176",11-Jun-16,19:12,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"47,616",11-Jun-16,19:12,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"49,152",11-Jun-16,19:12,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"50,688",11-Jun-16,20:24,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"45,056",11-Jun-16,19:12,Not applicable,None,Not applicable
